"STOCK.CODE","STOCK.NAME","CAT","ADVICE.TYPE","FISHERIES.GUILD","SPECIES.ID","SPECIES.NAME"
"san-ns3","Sandeel in the Central Eastern North Sea (SA 3)",1,"MSY","demersal","SAN","Ammodytes spp"
"san-ns4","Sandeel in the Central Western North Sea (SA 4)",3,"PA","demersal","SAN","Ammodytes spp"
"san-ns5","Sandeel in the Viking and Bergen Bank area (SA 5)",5,"PA","demersal","SAN","Ammodytes spp"
"san-ns6","Sandeel in Division IIIa East (Kattegat, SA6)",5,"PA","demersal","SAN","Ammodytes spp"
"san-ns7","Sandeel in the Shetland area (SA 7)",5,"PA","demersal","SAN","Ammodytes spp"
"sol-eche","Sole in Division VIId (Eastern Channel)",1,"MSY","benthic","SOL","Solea solea"
"sol-eche","Sole in Division VIId (Eastern Channel)",1,"MSY","benthic","SOL","Solea spp"
"spr-kask","Sprat in Division IIIa (Skagerrak - Kattegat)",3,"PA","pelagic","SPR","Sprattus sprattus"
"spr-nsea","Sprat in Subarea IV (North Sea)",1,"MSY","pelagic","SPR","Sprattus sprattus"
"whg-kask","Whiting in Division IIIa (Skagerrak - Kattegat)",5,"PA","demersal","WHG","Merlangius merlangus"
"nep-34","Nephrops in Division IVb (Devil's Hole, FU 34)",4,"PA","crustacean","NEP","Nephrops norvegicus"
"tur-kask","Turbot in Division IIIa",3,"PA","benthic","TUR","Scophthalmus maximus"
"trk-nea","Starry smooth-hound (Mustelus asterias) in the Northeast Atlantic",3,"PA","elasmobranch","TRK","Mustelus spp"
"usk-mar","Tusk in Division Subarea XII, excluding XIIb (Mid Atlantic Ridge)",6,"PA","demersal","USK","Brosme brosme"
